,Date,ethernet,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.00025,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906,-0.125906
1,0.0005,-0.10788814,-0.13432306,-0.11767592,-0.12443381,-0.10173502,-0.13518225,-0.11071105,-0.11945228,-0.11938946,-0.13226399,-0.10037668,-0.13665737,-0.11941809,-0.12958473,-0.14874935,-0.12942286,-0.130406,-0.11926032,-0.11661562,-0.1381186,-0.1273209,-0.11467496,-0.12751612,-0.112234935,-0.13148764,-0.1717036,-0.12702951,-0.15882614,-0.13958444,-0.119131394,-0.124540254,-0.1356144,-0.12836787,-0.11906353,-0.12720631,-0.12455895,-0.12947847,-0.10289383,-0.08991489,-0.11258206,-0.11703092,-0.13249376,-0.1238634,-0.12178539,-0.1526697,-0.12705489,-0.1352726,-0.14404002,-0.11036818,-0.124599196,-0.097572625,-0.122846276,-0.11587041,-0.11374279,-0.112977915,-0.122238085,-0.10128224,-0.12438414,-0.121135935,-0.11973448,-0.11702326,-0.11735295,-0.121247694,-0.119547114,-0.12961875,-0.12854953,-0.13991815,-0.1381424,-0.1134741,-0.110904805,-0.14658138,-0.13090117,-0.12468696,-0.11481389,-0.13511834,-0.13723871,-0.11521557,-0.12221496,-0.12991782,-0.13573605,-0.13615054,-0.10798823,-0.1230548,-0.12935942,-0.119665824,-0.12164632,-0.12110363,-0.1339294,-0.11716361,-0.11340697,-0.13583753,-0.13184138,-0.120730706,-0.12690249,-0.11352745,-0.15776622,-0.10744476,-0.1172903,-0.12561017,-0.09615061,-0.13676132
2,0.00075,-0.10975244,-0.14274013,-0.10944584,-0.122961596,-0.07756403,-0.14445847,-0.0955161,-0.11299856,-0.112872906,-0.13862196,-0.074847355,-0.14740872,-0.11293018,-0.13326347,-0.17159268,-0.1329397,-0.134906,-0.11261462,-0.10732524,-0.1503312,-0.12873578,-0.10344391,-0.12912622,-0.098563865,-0.13706926,-0.21750121,-0.12815301,-0.19174626,-0.15326285,-0.112356775,-0.12317449,-0.14532278,-0.13082975,-0.11222105,-0.1285066,-0.123211876,-0.13305092,-0.079881646,-0.053923775,-0.09925811,-0.10815583,-0.13908154,-0.12182078,-0.11766476,-0.17943336,-0.12820375,-0.1446392,-0.16217403,-0.094830334,-0.12329238,-0.069239244,-0.11978654,-0.105834804,-0.10157958,-0.10004982,-0.118570164,-0.076658465,-0.122862265,-0.11636585,-0.11356294,-0.10814051,-0.10879988,-0.11658938,-0.11318822,-0.13333149,-0.13119304,-0.1539303,-0.1503788,-0.101042196,-0.0959036,-0.16725674,-0.13589633,-0.1234679,-0.10372177,-0.14433068,-0.1485714,-0.104525134,-0.118523896,-0.13392963,-0.14556608,-0.14639506,-0.090070456,-0.120203584,-0.13281283,-0.113425635,-0.11738663,-0.11630124,-0.1419528,-0.10842122,-0.10090794,-0.14576903,-0.13777675,-0.115555406,-0.12789896,-0.10114889,-0.18962643,-0.088983506,-0.108674586,-0.12531435,-0.0663952,-0.14761664
3,0.001,-0.11088531,-0.15115719,-0.10121576,-0.1214894,-0.053393036,-0.15373471,-0.08032115,-0.106544845,-0.10635636,-0.14497992,-0.04931803,-0.15816009,-0.106442265,-0.1369422,-0.19443604,-0.13645655,-0.139406,-0.10596893,-0.098034866,-0.16254377,-0.13015068,-0.09221286,-0.13073632,-0.084892794,-0.14265087,-0.2632988,-0.12927651,-0.22466642,-0.16694129,-0.10558216,-0.12180873,-0.15503117,-0.13329162,-0.105378576,-0.1298069,-0.12186482,-0.13662338,-0.05686946,-0.017932652,-0.08593416,-0.09928074,-0.1456693,-0.119778164,-0.113544144,-0.20619705,-0.12935263,-0.1540058,-0.18030804,-0.079292506,-0.12198557,-0.040905863,-0.11672681,-0.0957992,-0.089416355,-0.087121725,-0.11490224,-0.052034687,-0.1213404,-0.11159578,-0.10739142,-0.099257775,-0.10024682,-0.11193108,-0.10682934,-0.13704425,-0.13383657,-0.16794243,-0.16261518,-0.08861029,-0.08090239,-0.18793213,-0.14089149,-0.12224885,-0.09262964,-0.15354301,-0.15990412,-0.0938347,-0.11483284,-0.13794145,-0.1553961,-0.1566396,-0.072152674,-0.117352374,-0.13626623,-0.10718545,-0.11312695,-0.111498855,-0.1499762,-0.09967882,-0.0884089,-0.15570053,-0.14371213,-0.110380106,-0.12889543,-0.08877032,-0.22148666,-0.07052226,-0.100058876,-0.12501852,-0.036639795,-0.15847197
4,0.00125,-0.113177754,-0.15957424,-0.092985675,-0.12001719,-0.029222053,-0.16301094,-0.0651262,-0.100091115,-0.09983981,-0.1513379,-0.02378871,-0.16891144,-0.099954344,-0.14062092,-0.21727936,-0.13997339,-0.143906,-0.099323235,-0.088744484,-0.17475638,-0.13156557,-0.08098182,-0.13234644,-0.07122173,-0.14823249,-0.3090964,-0.13040002,-0.2575865,-0.1806197,-0.09880754,-0.12044297,-0.16473956,-0.13575348,-0.09853609,-0.13110721,-0.12051775,-0.14019585,-0.033857282,0.018058455,-0.07261022,-0.09040565,-0.15225706,-0.11773555,-0.10942352,-0.23296072,-0.1305015,-0.1633724,-0.19844206,-0.06375467,-0.12067875,-0.012572488,-0.11366707,-0.0857636,-0.07725314,-0.074193634,-0.111234315,-0.02741092,-0.11981853,-0.1068257,-0.101219885,-0.09037503,-0.09169376,-0.10727276,-0.10047044,-0.14075698,-0.1364801,-0.18195459,-0.17485157,-0.076178394,-0.06590119,-0.2086075,-0.14588666,-0.121029794,-0.08153752,-0.16275534,-0.17123681,-0.08314427,-0.111141786,-0.14195324,-0.16522613,-0.16688412,-0.0542349,-0.11450116,-0.13971965,-0.100945264,-0.10886726,-0.10669647,-0.15799959,-0.09093643,-0.075909875,-0.16563204,-0.14964749,-0.1052048,-0.1298919,-0.076391764,-0.25334683,-0.052061014,-0.09144317,-0.12472269,-0.006884402,-0.16932727
5,0.0015,-0.115247205,-0.14690666,-0.09668379,-0.104788065,-0.017462993,-0.16611563,-0.06364646,-0.09376377,-0.09915982,-0.16408436,-0.011374813,-0.20495556,-0.10197096,-0.12174655,-0.2113793,-0.12489042,-0.15618011,-0.0903809,-0.067118265,-0.1855181,-0.12128873,-0.059284594,-0.16722634,-0.072770245,-0.14248067,-0.30879533,-0.12712936,-0.26710707,-0.17037839,-0.08429894,-0.11864371,-0.1701825,-0.11195716,-0.098079786,-0.13860518,-0.11740071,-0.11454897,-0.029459415,0.011321559,-0.055640083,-0.076881975,-0.13134071,-0.1013381,-0.11902095,-0.21308115,-0.10569534,-0.16923898,-0.19964153,-0.086096,-0.10753296,0.016428065,-0.12851518,-0.08262944,-0.0732125,-0.078678906,-0.11329448,-0.028173044,-0.106344536,-0.09197591,-0.07907067,-0.09780954,-0.106036894,-0.11510593,-0.08631783,-0.12716104,-0.14766884,-0.16549645,-0.15952994,-0.09331459,-0.088115856,-0.1797429,-0.14739862,-0.12720335,-0.10216581,-0.15808457,-0.17421417,-0.082323946,-0.114026695,-0.15821554,-0.15518199,-0.16325215,-0.020038035,-0.103763625,-0.13167465,-0.10826428,-0.10304237,-0.08561928,-0.15104549,-0.07985547,-0.07608766,-0.16929469,-0.14822024,-0.11077533,-0.115433365,-0.048218098,-0.24657252,-0.03773733,-0.08564587,-0.113052204,-0.015312726,-0.16925327
6,0.00175,-0.115907334,-0.13423908,-0.100381926,-0.089558944,-0.00570394,-0.16922033,-0.062166728,-0.08743644,-0.09847984,-0.17683083,0.0010390766,-0.24099971,-0.103987575,-0.10287218,-0.20547925,-0.10980745,-0.16845424,-0.081438564,-0.045492053,-0.19627982,-0.11101191,-0.037587363,-0.20210628,-0.07431878,-0.13672885,-0.3084942,-0.123858705,-0.27662766,-0.16013709,-0.06979033,-0.11684446,-0.17562541,-0.08816084,-0.0976235,-0.14610314,-0.11428368,-0.088902086,-0.025061559,0.0045846445,-0.03866995,-0.06335829,-0.11042438,-0.08494066,-0.12861839,-0.1932016,-0.080889165,-0.1751056,-0.20084098,-0.108437374,-0.09438717,0.04542862,-0.1433633,-0.07949529,-0.06917186,-0.08316419,-0.11535466,-0.02893518,-0.09287055,-0.07712612,-0.056921456,-0.105244055,-0.12038005,-0.1229391,-0.07216522,-0.11356509,-0.1588576,-0.14903833,-0.14420831,-0.110450804,-0.110330544,-0.15087828,-0.14891058,-0.1333769,-0.12279412,-0.15341382,-0.17719153,-0.081503645,-0.11691162,-0.17447785,-0.14513785,-0.15962017,0.0141588375,-0.09302609,-0.12362965,-0.11558331,-0.097217485,-0.06454209,-0.1440914,-0.068774514,-0.07626547,-0.17295736,-0.14679301,-0.11634587,-0.10097483,-0.020044433,-0.23979819,-0.023413649,-0.07984857,-0.10138172,-0.023741068,-0.1691793
7,0.002,-0.11818194,-0.121571496,-0.104080066,-0.07432981,0.006055114,-0.17232502,-0.060686998,-0.0811091,-0.09779987,-0.1895773,0.013452969,-0.27704388,-0.1060042,-0.0839978,-0.19957921,-0.09472448,-0.18072838,-0.07249623,-0.023865838,-0.20704158,-0.10073507,-0.015890134,-0.23698622,-0.07586731,-0.13097703,-0.30819315,-0.12058806,-0.28614822,-0.14989579,-0.055281717,-0.115045205,-0.18106836,-0.064364515,-0.0971672,-0.15360111,-0.11116664,-0.0632552,-0.020663701,-0.0021522706,-0.021699816,-0.049834624,-0.08950804,-0.06854321,-0.13821582,-0.17332205,-0.056082994,-0.18097219,-0.20204045,-0.13077873,-0.08124138,0.07442918,-0.15821141,-0.076361135,-0.065131225,-0.08764947,-0.117414825,-0.029697314,-0.07939655,-0.062276334,-0.034772232,-0.11267859,-0.13472322,-0.13077228,-0.05801261,-0.09996914,-0.17004636,-0.1325802,-0.12888668,-0.12758702,-0.13254523,-0.12201366,-0.15042256,-0.13955043,-0.14342244,-0.14874306,-0.1801689,-0.080683336,-0.11979654,-0.19074017,-0.1350937,-0.15598819,0.048355713,-0.08228855,-0.11558466,-0.122902334,-0.09139261,-0.043464895,-0.1371373,-0.057693556,-0.07644327,-0.17662002,-0.14536577,-0.1219164,-0.08651628,0.008129235,-0.23302385,-0.009089966,-0.07405128,-0.089711234,-0.032169413,-0.16910532
8,0.00225,-0.11987676,-0.108903915,-0.10777819,-0.059100695,0.017814156,-0.1754297,-0.05920726,-0.07478176,-0.097119875,-0.20232373,0.025866847,-0.31308794,-0.10802081,-0.06512344,-0.19367912,-0.07964151,-0.19300249,-0.06355389,-0.0022396424,-0.2178033,-0.09045824,0.0058070743,-0.2718661,-0.07741583,-0.12522522,-0.30789202,-0.1173174,-0.29566878,-0.13965449,-0.040773116,-0.11324594,-0.18651128,-0.040568206,-0.096710905,-0.16109906,-0.10804961,-0.037608337,-0.016265847,-0.008889179,-0.0047296965,-0.03631096,-0.068591714,-0.05214578,-0.14781326,-0.1534425,-0.031276844,-0.18683879,-0.2032399,-0.15312007,-0.068095595,0.103429705,-0.17305951,-0.07322699,-0.061090592,-0.09213475,-0.119474985,-0.030459447,-0.06592257,-0.04742655,-0.012623033,-0.1201131,-0.14906634,-0.13860545,-0.043860003,-0.0863732,-0.18123509,-0.11612209,-0.113565065,-0.14472322,-0.1547599,-0.09314905,-0.15193452,-0.14572398,-0.16405071,-0.14407231,-0.18314625,-0.07986302,-0.12268144,-0.20700245,-0.12504958,-0.15235622,0.082552545,-0.071551025,-0.10753966,-0.13022135,-0.08556771,-0.022387717,-0.13018319,-0.046612613,-0.07662106,-0.18028268,-0.14393853,-0.12748693,-0.072057754,0.036302876,-0.2262495,0.0052337027,-0.068253994,-0.07804076,-0.04059774,-0.16903134
9,0.0025,-0.10606901,-0.11936107,-0.107852265,-0.05975054,0.01141794,-0.1610771,-0.046545774,-0.0571321,-0.08421896,-0.17755379,0.038235687,-0.30495298,-0.10058209,-0.031489126,-0.17519657,-0.068010114,-0.19641706,-0.06007515,0.007925908,-0.21960777,-0.095837064,0.024892427,-0.27953395,-0.06907525,-0.11619281,-0.32420015,-0.12369673,-0.312883,-0.14218399,-0.047503,-0.13224642,-0.16143459,-0.016311333,-0.0723181,-0.15008995,-0.0913023,-0.060752425,-0.016052367,0.0060499245,-0.012772583,-0.028115915,-0.059596095,-0.025631104,-0.12744977,-0.14246735,0.003868878,-0.1657386,-0.18841955,-0.15951788,-0.039098356,0.11372565,-0.16731822,-0.07235611,-0.082322314,-0.08885823,-0.10490107,-0.023665197,-0.0632098,-0.019406937,-0.008055226,-0.14236946,-0.15360948,-0.14410973,-0.021772763,-0.102834746,-0.16632141,-0.13132593,-0.12339531,-0.13809112,-0.15895851,-0.093032375,-0.16205859,-0.1489361,-0.1472128,-0.14848933,-0.17950822,-0.06672859,-0.12821491,-0.2078423,-0.124579154,-0.14471273,0.07609754,-0.097516075,-0.10930653,-0.12067455,-0.078463666,-0.029141558,-0.12541215,-0.045397334,-0.044391133,-0.17073432,-0.13606903,-0.099173054,-0.08843375,0.06347207,-0.25589135,0.021988716,-0.07212594,-0.095103815,-0.007328989,-0.16149598
