,Date,ar1_short_memory,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526
1,0.001,0.8477966,0.5988779,-0.031420723,0.23875786,0.034482963,0.039023492,-0.46919703,-0.34903866,0.1673125,-0.15822363,0.4548151,-0.2647801,-0.07369895,0.1449821,-0.28354073,0.36348438,-0.0837886,0.052499376,-0.19079931,-0.5070959,-0.32740068,0.24817495,-0.17498955,0.56719667,-0.2192175,0.1094874,0.32092315,0.38962662,0.44096226,0.652213,-0.07108472,0.4784667,0.2026702,0.3358115,-0.118653655,-0.07984498,0.3358975,0.3122682,0.3081571,-0.017058663,0.57161117,-0.32055432,-0.6517176,-0.09632158,0.46461874,0.1012308,0.28623813,0.072083436,0.06622646,-0.26532882,0.048565343,-0.11932857,0.21006282,-0.33945775,-0.3585028,0.9572011,0.45389593,0.12344988,0.34993154,0.1451413,-0.3744241,0.22967157,0.45136356,-0.2642634,0.40495455,0.1944648,-0.14716002,0.109153375,0.32107472,0.5434312,-0.23557504,0.27506852,-0.00085543096,-0.18593456,0.62078446,0.5321105,0.12920558,-0.20510752,0.15638325,0.18311156,-0.0016005859,-0.27666366,0.43072492,0.26620457,0.6159938,-0.0056037456,0.56820184,-0.117798045,-0.18559276,-0.2650234,-0.026219979,0.4582811,0.3220356,-0.17390823,-0.42495006,-0.24244188,0.11034898,0.1746622,0.3782243,-0.2674423,0.16700122
2,0.002,0.4927002,0.9160459,-0.37676325,0.42622942,-0.40295708,0.029708002,-0.42301553,-0.31228012,0.009864017,0.05455257,0.15643105,-0.41456518,0.22859228,0.5813453,-0.45932943,0.102302074,-0.11012166,0.35685527,-0.7031002,-0.463609,-0.12550674,0.16467698,0.06907669,0.56751287,-0.5154113,-0.37786177,-0.040450722,0.54147625,0.524547,0.89798486,0.042373158,0.49092117,0.2684925,0.5890109,-0.2317673,0.14833972,0.38449636,0.12879324,0.06852463,0.72966903,0.7470033,-0.06769052,-0.5055378,-0.30256245,0.7470517,0.57045907,-0.18423265,-0.08467237,-0.47855026,-0.29714152,-0.18494822,0.138076,-0.10303205,-0.79582554,0.2529096,1.0704236,0.29766455,0.04160151,0.5862576,0.007762328,-0.4702953,-0.20612697,0.49679667,-0.5930525,0.30245715,0.22471868,-0.3817609,-0.19977334,0.8335396,0.25844625,0.21349524,0.28102496,0.07824175,-0.14115582,0.69555354,0.8712096,-0.06221123,0.45957994,-0.37768188,-0.06841405,0.22684959,-0.39774793,0.56204325,0.22693868,1.0110188,0.13748446,0.17526072,-0.052673906,-0.22150771,-0.2655006,0.6737944,0.22249019,0.18453273,-0.19190192,-0.6434491,-0.096821755,0.13641821,-0.26324522,0.28100243,-0.10180423,0.070658304
3,0.003,-0.5266543,0.62707794,-0.579633,0.38602126,-0.31524336,0.0027017463,-1.0276334,-0.4698987,0.53261226,0.07494843,0.6259838,-0.09714815,-0.49240234,0.66686517,-1.0160469,0.43250957,-0.1526587,0.43987694,-0.7320303,-0.09093934,0.1796473,0.4040385,0.41613656,0.50374365,-0.038193703,-0.055867016,0.20291655,0.77976966,-0.28652364,0.6974199,-0.39118132,0.2721559,-0.06443736,0.49276584,-0.16044876,0.30240977,0.6821775,0.04793135,0.09001275,0.832543,0.68926525,-0.44523808,-0.17508367,0.4362833,0.51254964,0.5565028,-0.5060169,-0.3480198,-0.43084863,0.044301867,-0.6832844,0.6847141,-0.23889557,-1.203842,-0.2783563,0.9705115,0.28748763,0.13713503,0.3736964,0.4793376,-0.51526606,-0.39780307,0.37862563,-1.011316,0.0102541745,0.6182755,0.04187405,-0.23242258,0.62035525,-0.17097202,-0.56968224,0.5608374,-0.3756972,-0.07442778,0.683321,0.6772986,-0.17671841,0.5452947,-0.39190465,0.15225399,0.24769068,-0.51700246,0.9335657,-0.14069982,0.8328945,0.27492085,0.8526551,0.090663485,-0.4871146,-0.11771928,1.1101515,0.47067887,0.31875563,-0.5015512,-0.54452187,-0.66327995,0.39839217,-0.18799396,0.75672066,-0.42763302,0.08356742
4,0.004,-0.4580774,0.5533235,-1.2174906,0.5166256,-0.13006218,-0.041328017,-1.2555053,-0.41895106,0.19479561,-0.20468387,0.3907445,-0.06710649,-0.67530143,1.0984344,-1.0550203,0.666355,-0.42495096,0.6813543,-0.773509,0.0015016049,0.08811554,0.3300953,0.60059714,0.9257367,-0.18604428,-0.45057547,-0.12770255,0.7051827,0.09788704,0.7016388,-0.59252834,-0.24988732,0.29889858,0.36041453,0.07981533,0.5560829,0.8123748,0.010891896,0.067326404,0.8702471,0.5268187,-0.15650883,-0.6487044,0.8272131,0.70486104,0.8784578,-0.42227113,-0.73121,-0.58957845,-0.1710332,-0.6015515,0.6344514,-0.21555142,-1.3922927,-0.33207667,0.91260463,0.17070961,0.088478744,0.07847196,0.74820197,-0.25210255,-0.6159294,0.6748731,-1.2237175,-0.32490143,0.89053464,0.3352943,-0.6874838,0.48708704,-0.389921,-0.3596143,0.8001696,0.21292523,0.18001321,0.6196623,0.7044941,-0.027421579,0.695997,-0.2937142,0.39402306,0.19711575,-1.0292592,0.87178063,0.26585963,1.631226,0.17218807,0.7728521,-0.34014574,-0.62984324,0.11165665,1.6536188,-0.01920557,0.35174024,-1.1341962,-0.28037912,-0.81822324,0.18822062,-0.30166647,0.6248404,-0.47961244,0.2185474
5,0.005,-0.4267956,0.36737588,-0.9592552,0.6174266,0.2380445,-0.74288774,-1.0497687,-0.46556666,0.33696425,-0.18050429,0.53328925,-0.21624717,-0.66242707,1.3797094,-1.4138548,0.7531307,-0.57151175,0.7509728,-0.5159739,0.027619924,0.060328845,0.67377293,0.8454884,0.81461173,-0.16883597,-0.6138864,-0.038888972,0.89626175,-0.2543877,0.6333938,-0.5712214,-0.2928094,0.5890214,0.71429676,0.34844017,0.92523515,0.8601943,-0.4595367,0.043994825,0.8354696,0.55217916,-0.8890192,-0.5109018,0.75518227,0.78534085,0.61453867,-0.41616026,-0.5069104,-0.9787883,-0.43702096,-0.74758154,1.0889521,-0.17862476,-1.2466825,0.034341045,0.9454009,0.24793819,0.60847217,0.015204287,1.0541334,-0.40543008,-0.7771459,0.7053596,-1.0239831,-0.019957207,0.357508,0.3609056,-0.49053168,0.5587627,-0.351734,0.033728894,0.7561107,0.57726204,1.1297792,0.16404143,0.5429141,0.32090783,0.61865354,-0.59605116,-0.30774415,0.3851343,-1.0101731,1.526604,0.59696627,1.6510354,0.22838023,0.8263897,-0.8655401,-0.61409754,0.097931795,2.1080525,0.021097412,0.279182,-1.0236835,0.049590018,-0.68484014,0.06676255,-0.36873886,0.88519526,0.06693368,-0.09636082
6,0.006,-0.0006517992,0.09998701,-0.9662154,1.0030729,0.11300646,-0.1698071,-0.8436521,-0.5679987,0.49082816,-0.3048568,0.67795247,-0.42880762,-0.68597484,1.2090948,-1.4225665,0.51407635,-0.51205915,0.6188597,-0.39406547,0.11542834,-0.24698909,0.25220352,0.29612172,1.0376909,-0.27928767,-0.6752473,0.061614994,0.8588395,-0.14774507,1.0754921,-0.780887,-0.23385021,0.64177954,1.2197528,0.88576406,0.6792394,0.6412431,-1.1426724,-0.13307552,1.2006081,0.11817258,-0.97852826,-0.6141699,1.1435944,0.8684672,0.4787338,0.055908818,-0.30263123,-0.9708041,-0.46613163,-0.19340588,0.6817483,-0.5618928,-0.86298525,0.08967632,0.58928794,0.23428251,1.0078233,-0.13480903,1.5350004,-0.22731267,-1.0082766,1.2195756,-0.89077723,-0.22287908,0.44666395,0.07387023,-0.540781,0.49124098,-0.28589794,-0.037682544,0.79930055,0.21088268,1.1864796,-0.021338109,0.96340823,0.32346833,0.11869105,-0.44560015,-0.60403305,0.15222903,-0.79575664,1.4556844,1.1241012,1.610067,0.20405893,1.2484634,-0.96240914,-0.3691316,0.07585899,2.5516558,0.12591504,0.52587837,-0.73991466,-0.11330348,-0.4231336,0.026131384,-0.5629766,1.0804504,0.052965913,-0.06981963
7,0.007,0.47569504,0.21433616,-1.3667318,0.9863681,0.19552977,0.15110306,-0.578586,-0.21672066,0.81411,-0.95745397,0.73293084,-0.45118892,-0.69455475,0.91764176,-1.6452545,0.17731184,-0.38138187,0.6420163,-0.43194893,-0.25263137,-0.43518153,-0.17823495,0.7228354,0.42534092,-0.0576189,-0.6495925,0.28869227,1.4668065,-0.1934176,0.90897423,-0.9258561,-0.29623336,0.38319921,1.652305,0.44455814,0.774239,0.31143627,-1.2272565,-0.60326785,1.7060659,0.054934185,-0.6542798,-0.52305174,1.0346134,0.70234525,0.5272497,-0.5879053,-0.8195341,-0.71540236,-0.47718623,-0.5013482,0.5413032,-0.7243079,-0.554586,0.20305853,0.057584774,0.11428788,0.90557647,-0.056274034,1.7147719,-0.55143714,-0.95087606,1.0685457,-1.2895348,-0.15770023,0.52782714,-0.1881458,-0.1169989,0.34824508,-0.10619707,-0.34015918,0.9181032,0.6448723,1.1264336,-0.038132675,1.1122215,0.61873454,0.1630301,-0.64130086,-0.73364735,-0.24530318,-0.5789402,1.7673073,1.4592583,1.8063952,-0.014455351,1.111799,-1.2140757,-0.3284553,0.16890924,2.131411,0.03251388,0.06946651,-0.5868083,-0.13466898,-0.5172849,-0.06717952,-0.5421448,1.3339043,0.2237142,0.061252836
8,0.008,-1.0612669,0.060374126,-1.5960171,0.6929827,0.87793106,0.06564246,-0.65353006,0.5440217,1.1835164,-1.6204157,0.5785899,-0.37077042,-1.0208898,1.0788136,-1.7009665,-0.1235411,-0.2740879,0.4140283,-0.4449063,0.023546726,-0.63787997,0.16897035,0.8937564,0.45008424,0.23242554,-0.7153949,0.56509376,1.4386398,-0.3532052,0.9726153,-0.98489463,0.15572259,0.8775395,1.5404494,0.46039602,0.62321955,0.1945228,-0.8631407,-0.98101264,1.6699735,0.11883235,-0.4931958,-0.52447575,0.84149426,0.08283383,0.38616198,-0.64474165,-0.912224,-1.3663256,-0.4462868,-0.16216898,0.30320844,-0.7032326,-0.33157483,-0.18730643,-0.029472701,0.38729277,0.48447275,0.15129013,1.0863823,-0.23459035,-0.70014346,0.6703216,-1.4154655,-0.37926674,0.36316997,-0.19317606,-0.33063412,0.24222395,-0.53720844,-0.5915309,0.7673326,0.3322812,1.5293201,-0.5188111,1.5478858,0.9720979,-0.038456514,-0.3228746,-0.6496574,0.2137154,-0.39908844,1.4441402,1.5120317,1.731114,0.046766978,1.4991938,-1.7521694,-0.28864482,0.12723866,2.5186036,-0.02009214,0.17441455,-0.48851115,-0.07092796,-0.5268557,-0.47363117,-0.2585256,1.1934075,0.28252956,0.1506615
9,0.009,0.35863513,-0.14456095,-1.6361624,0.6920877,1.0680598,-0.32882679,-0.93664294,0.21977597,0.99018776,-1.0201384,0.29157367,-0.45724005,-0.8764967,0.6958493,-1.3670053,-0.27287132,-0.08749049,0.2414663,-0.78645986,0.12718421,-0.566744,0.37651148,1.0887576,0.6082656,0.69324654,-0.46430352,0.54931146,1.0876533,-0.030419143,1.180343,-1.7152117,0.19322033,1.3295748,1.1835755,0.5316703,0.7661777,0.27026042,-0.9652406,-0.26144144,1.3884641,0.05918949,-0.5496605,-0.6478445,0.68752444,0.016466225,0.8531289,-0.8982492,-1.054205,-0.65302277,0.20289682,-0.23385863,0.18755278,-1.0245777,-0.07478794,0.033364043,0.012027773,0.84163684,0.34906512,0.5041995,0.6244356,-0.60408574,-0.96920687,1.0550131,-1.7260641,-0.002324187,0.5382782,-0.63957393,-0.6005514,-0.2542879,-0.5248592,-0.6102639,0.8208577,-0.051733375,1.4807441,-0.043520834,1.1927907,1.2477932,-0.15290894,-0.56142527,-0.42488867,-0.3083771,-0.3800108,1.133663,1.4562334,1.1415385,-0.15546362,1.0928308,-1.8730836,-0.6549498,0.5845141,2.4848151,-0.2132048,0.8639302,-0.44747907,-0.53334415,-0.5345242,-0.21095514,0.06389922,1.5130333,-0.14323114,-0.18780883
