,Date,videoVBR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.001,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362
1,0.002,0.20528768,0.16201492,0.1953689,0.22837248,0.20662458,0.20368865,0.14876266,0.15714863,0.16576482,0.23970401,0.21192014,0.15893443,0.16619,0.14188567,0.13301067,0.17937087,0.17766832,0.1834282,0.19905743,0.24971464,0.19772173,0.2329222,0.18093699,0.16590816,0.22594841,0.1696545,0.17235772,0.100064084,0.16051768,0.19456401,0.1966576,0.14717875,0.14571707,0.13576199,0.16147576,0.19410507,0.22614157,0.21155986,0.16386358,0.18020105,0.15754035,0.16369113,0.13310477,0.16830188,0.15672374,0.15575144,0.17340834,0.19374451,0.18360643,0.15247999,0.1783816,0.25131285,0.21028072,0.19916806,0.1661675,0.21321619,0.21725163,0.15439841,0.13093343,0.19425192,0.13088392,0.1841346,0.15139765,0.22620109,0.17632791,0.15769054,0.16317686,0.16883641,0.20099266,0.17594066,0.18175691,0.15111083,0.17428333,0.19493693,0.20475832,0.22330074,0.0944061,0.2254364,0.1534327,0.15619275,0.2080715,0.16861282,0.20648237,0.26542208,0.21079025,0.20000456,0.12893063,0.14750177,0.14437625,0.19860265,0.17459407,0.18199673,0.16465516,0.12889132,0.21327332,0.16350791,0.16069679,0.1820316,0.18514906,0.2019918,0.1707143
2,0.003,0.21927992,0.13269323,0.16566974,0.24397957,0.15978533,0.2047776,0.12586306,0.18979673,0.17930605,0.21569994,0.21802217,0.13794594,0.1016888,0.14761208,0.12585276,0.1218847,0.16247647,0.13138247,0.20352854,0.22070208,0.13597517,0.23869383,0.16182348,0.14740887,0.17962778,0.15872991,0.14695176,0.057572678,0.17543559,0.21910845,0.24875233,0.16782574,0.117318876,0.16249716,0.18036315,0.1388607,0.19273728,0.17500886,0.14103016,0.15919912,0.1466818,0.1657877,0.12610953,0.19865647,0.14007226,0.09009451,0.1842125,0.1628268,0.20043747,0.18640062,0.22152449,0.23225476,0.18383376,0.17508586,0.19991243,0.24669604,0.21812323,0.15209678,0.054998137,0.19980846,0.14202449,0.17154944,0.14777505,0.19430658,0.216474,0.14778692,0.13453826,0.16523089,0.21412724,0.16139425,0.17889793,0.1634457,0.16467239,0.20854566,0.17515066,0.19625202,0.039403494,0.20922974,0.20455599,0.2442752,0.25024557,0.21550716,0.13549684,0.32820633,0.21195869,0.18858328,0.12882775,0.134752,0.12585373,0.20723954,0.20309368,0.14412025,0.13380413,0.19987676,0.2563746,0.19520609,0.211507,0.21811086,0.14227603,0.23389883,0.12247835
3,0.004,0.22591943,0.13694184,0.15019782,0.22989929,0.08367447,0.20857525,0.11731781,0.21945097,0.18962479,0.262092,0.16421476,0.1631265,0.11690051,0.22388032,0.1575688,0.11503407,0.12863626,0.15169808,0.18713304,0.19901134,0.15928248,0.2414452,0.13532545,0.1104559,0.19214363,0.2125898,0.10767696,0.05539842,0.19097811,0.14882246,0.1807984,0.1635498,0.06478408,0.16246592,0.09783532,0.11948696,0.22354749,0.09148047,0.15701565,0.1323526,0.18104677,0.16728786,0.13017413,0.27060387,0.1076638,0.10598791,0.18942654,0.15024471,0.14674094,0.23238021,0.20049879,0.1901494,0.15319625,0.17406729,0.20904963,0.23186879,0.21789373,0.1671779,0.041420158,0.18485367,0.1658849,0.14400788,0.15412514,0.17429797,0.25266272,0.13654652,0.11441963,0.1535927,0.2558401,0.13985701,0.078332484,0.19812539,0.17678301,0.23356532,0.20754957,0.18260095,0.060238563,0.22804892,0.2195092,0.21421418,0.1842589,0.20105886,0.12128664,0.330468,0.19018464,0.1539353,0.10872738,0.13193868,0.14053428,0.18812636,0.19721279,0.12643638,0.21029672,0.2035813,0.26631334,0.15430064,0.15332052,0.20489903,0.057645686,0.23467648,0.09785646
4,0.005,0.23133348,0.13808343,0.1731366,0.24890292,0.03750451,0.17913179,0.061530296,0.17009258,0.22259936,0.27283818,0.20620611,0.19781041,0.082578845,0.2211431,0.16493161,0.11757091,0.14343786,0.16003016,0.15964924,0.23605298,0.13056888,0.23651476,0.20500492,0.07914932,0.1830325,0.17503542,0.11616706,0.039196096,0.1118995,0.08737694,0.12511462,0.20099574,0.046438612,0.17472552,0.06912893,0.15357207,0.21478373,0.03906428,0.097626105,0.18383901,0.18166538,0.09918521,0.12589082,0.2536421,0.08243545,0.062682204,0.22215189,0.13257268,0.16273049,0.2596399,0.19903249,0.2309004,0.117435195,0.1856384,0.20856549,0.18358074,0.18621932,0.13968277,-0.019306647,0.16031814,0.12006114,0.17425308,0.11926577,0.16007325,0.24364069,0.15014632,0.053603515,0.10333555,0.24827313,0.107373066,0.043400653,0.14594668,0.22851206,0.18457924,0.18392311,0.19079491,0.01951559,0.26563835,0.18062185,0.17246486,0.19544822,0.17671722,0.13304865,0.33449242,0.1973799,0.17160647,0.08707926,0.14666465,0.18664652,0.20091341,0.15128787,0.13389567,0.12864952,0.2691921,0.24830678,0.08045066,0.17098142,0.17149693,0.06888802,0.23877405,0.098308474
5,0.006,0.24205783,0.111145765,0.24488148,0.21436681,0.0567884,0.18329346,0.07409807,0.13688806,0.21862556,0.20861211,0.20698081,0.22902183,0.06189257,0.17295939,0.17440893,0.1326883,0.14273158,0.14649488,0.13407657,0.2743305,0.15113492,0.25538656,0.19666006,0.07850344,0.2618135,0.11855875,0.12641434,-0.016808026,0.111010686,0.11017421,0.12737225,0.18940362,-0.008082618,0.18342805,0.07471992,0.14185134,0.17382109,-0.043030124,0.11431352,0.18888119,0.20259671,0.08284581,0.12918834,0.24597627,0.104153365,0.06773189,0.24502867,0.17208464,0.14992447,0.22776201,0.1883389,0.17244473,0.13451284,0.1295894,0.17696679,0.167716,0.19645545,0.13446766,-0.020169951,0.16847025,0.18849455,0.2206555,0.16080393,0.13265067,0.26760656,0.10112094,0.018593036,0.09992551,0.25135264,0.07237041,0.0018554598,0.13631383,0.26701513,0.19099823,0.23085876,0.15278861,0.0100028105,0.25586662,0.22523333,0.116981566,0.18574482,0.15685809,0.13421616,0.34019506,0.21318546,0.1366318,0.13162774,0.14410643,0.17494977,0.22051556,0.12203377,0.10414482,0.09433661,0.24255073,0.287348,0.17231362,0.13812895,0.11377043,0.053380966,0.24096304,0.1157122
6,0.007,0.24542947,0.109824285,0.22358625,0.21678253,0.051229622,0.19701467,0.076536685,0.15167484,0.20381291,0.2264381,0.25353995,0.23710994,0.07262039,0.13957532,0.096268244,0.05223292,0.13502742,0.091318674,0.16466832,0.29583582,0.17312819,0.29600477,0.17354609,0.05856241,0.2149313,0.17537595,0.13733594,-0.044946715,0.10548797,0.11183681,0.09622102,0.13160509,0.027433878,0.1263599,0.038039654,0.08968032,0.1454852,-0.09720359,0.074332364,0.17071265,0.20969899,0.06248646,0.14761968,0.23979254,0.10750244,0.045097996,0.20615737,0.120442666,0.16486903,0.21136826,0.22781876,0.18062536,0.063551076,0.12156625,0.13055533,0.14077504,0.13820764,0.17209536,-0.035951823,0.16770542,0.20373106,0.21913698,0.17815441,0.1230829,0.31281844,0.11814707,0.045040894,0.051751528,0.19196567,0.039700247,0.009114113,0.13576911,0.28295407,0.24118039,0.23398893,0.17166561,-0.009578827,0.2459273,0.23798886,0.08377556,0.2538363,0.17914246,0.16423102,0.2778909,0.15088998,0.121410236,0.17096613,0.13817051,0.136164,0.1402794,0.046611357,0.06999314,0.08569445,0.26934177,0.25031245,0.19992387,0.11548923,0.16120186,0.061621252,0.21305749,0.053625453
7,0.008,0.23613808,0.08373135,0.21170811,0.211251,0.012851026,0.1582352,0.10253208,0.10472403,0.20054412,0.20572503,0.23836763,0.23979124,0.06333126,0.18524969,0.13756569,0.03245685,0.17858502,0.100149356,0.15109472,0.25307155,0.16306986,0.27615917,0.16654375,0.058420785,0.20106141,0.104509614,0.12876442,-0.05181977,0.1463719,0.15550543,0.096614674,0.12736152,0.041790575,0.12951344,-0.0036851019,0.07348048,0.11682436,-0.12117886,0.1034761,0.15024932,0.14159551,0.075635284,0.14977875,0.20350452,0.09429055,0.033131324,0.18222797,0.08551782,0.1918261,0.2355224,0.19314222,0.21103337,0.07249326,0.07217001,0.13392082,0.13094673,0.16853175,0.15338476,-0.036606997,0.12614885,0.14441697,0.18836488,0.16930589,0.13847706,0.32569772,0.08975853,0.0034212135,0.10862395,0.1877841,-0.010858141,0.00048777834,0.119492844,0.33244953,0.20286961,0.19016553,0.18326423,-0.008053848,0.16056234,0.2576219,0.055534516,0.23640183,0.17507203,0.105605386,0.27996916,0.15680283,0.05445316,0.09640491,0.09021518,0.1624466,0.14896117,0.015024377,0.033538576,0.09343439,0.17401642,0.2706801,0.17238225,0.08629683,0.17047752,-0.018853858,0.14251453,0.061679833
8,0.009,0.2235788,0.04387267,0.21357165,0.17020053,-0.04343069,0.13118684,0.06210782,0.087662086,0.17439134,0.19960886,0.20038046,0.20753476,0.037287425,0.18664469,0.19253302,0.042431537,0.1596535,0.15683225,0.18549086,0.2947872,0.18434784,0.2793908,0.1196965,0.028952848,0.16032033,0.15659939,0.056848325,-0.12032416,0.13718455,0.19012095,0.07780936,0.13551602,0.020879377,0.13243087,-0.0046939137,0.05657771,0.010887811,-0.16462056,0.10363939,0.12047841,0.12804228,0.075338356,0.16117105,0.17562017,0.10318122,0.028185602,0.17509772,0.10326852,0.16132352,0.23117946,0.1908767,0.21484722,0.08004808,0.0521858,0.13763747,0.13154075,0.14989741,0.15934636,-0.025706848,0.07737097,0.14772075,0.17274226,0.17714927,0.11560224,0.32650778,0.06257655,-0.015439311,0.16059403,0.18652397,-0.022910422,0.00085282756,0.05590439,0.25957316,0.12346054,0.1580592,0.22655372,0.02868223,0.1281357,0.25741106,0.01155331,0.21860228,0.12795268,0.1811306,0.2758694,0.21983758,0.04038975,0.051926825,0.08080523,0.12415582,0.07056078,0.013391287,0.06032574,0.04000136,0.17756459,0.2664435,0.118814714,0.10437718,0.19652358,-0.035329368,0.13104601,0.07740417
9,0.01,0.2118365,0.04777807,0.17502859,0.22134691,-0.032952417,0.14541955,0.017073188,0.06643905,0.15475972,0.19204986,0.14303923,0.16107652,-0.041311584,0.20119773,0.20493418,0.0210284,0.1805619,0.16321322,0.20826057,0.22615422,0.16201992,0.25899673,0.08215641,0.05810546,0.1612388,0.16607638,0.017547572,-0.107700594,0.1463348,0.13595131,0.042406198,0.055930883,-0.0009436013,0.08731003,-0.06452248,0.053125516,0.10076836,-0.13378452,0.15466772,0.09266659,0.069171555,0.057061154,0.13710237,0.16586255,0.06457742,0.030271983,0.21790196,0.1574145,0.17742358,0.22528838,0.19659664,0.22372343,0.115673445,0.043674037,0.07002093,0.10619049,0.08432402,0.19242194,-0.032872096,0.05949177,0.103833236,0.14546174,0.15072246,0.095769376,0.34786353,0.11142172,-0.016865538,0.19166066,0.14371745,-0.04287674,0.00064819044,0.10261902,0.25035813,0.0700552,0.20049195,0.24647099,0.028661149,0.109185435,0.26616952,0.03381888,0.1900265,0.021037439,0.14667916,0.26196828,0.2436353,0.03649755,0.0007999047,0.10640812,0.07397071,0.03421146,0.04258246,0.044404455,0.0038564857,0.24326424,0.25290725,0.12894554,0.14707375,0.16109075,-0.083878234,0.14835386,0.046808317
